Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
45,Suzuki Wagon R LX BS IV,Maruti,2013,85000.0,29685.0,Petrol
46,Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000.0,Diesel
47,Scorpio SLE BS IV,Mahindra,2012,570000.0,19000.0,Diesel
48,Polo Highline Exquisite P,Volkswagen,2014,315000.0,60000.0,Petrol
49,Spark LS 1.0,Chevrolet,2010,110000.0,41000.0,Petrol
50,Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel
51,City,Honda,2015,448999.0,54000.0,Petrol
52,Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol
53,Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel
54,Amaze,Honda,2015,344999.0,22000.0,Petrol
55,Duster,Renault,2014,449999.0,50000.0,Diesel
56,Cooper S 1.6,Mini,2013,1891111.0,13500.0,Petrol
57,Scorpio S4,Mahindra,2015,865000.0,30000.0,Diesel
58,Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000.0,Diesel
59,Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel
60,EcoSport,Ford,2017,489999.0,39000.0,Petrol
61,Brio,Honda,2012,224999.0,30000.0,Petrol
62,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000.0,3600.0,Diesel
63,i20 Magna,Hyundai,2009,195000.0,32000.0,Petrol
64,Corolla Altis Diesel D4DG,Toyota,2010,351000.0,38000.0,Diesel
65,Verna Transform SX VTVT,Hyundai,2008,160000.0,45000.0,Petrol
66,Corolla Altis Petrol Ltd,Toyota,2009,240000.0,35000.0,Petrol
67,City 1.5 EXi New,Honda,2005,90000.0,50000.0,Petrol
68,Fabia 1.2L Diesel Elegance,Skoda,2011,155000.0,45863.0,Diesel
69,3 Series 320i,BMW,2011,600000.0,60500.0,Petrol
70,Suzuki A Star Lxi,Maruti,2011,189500.0,12500.0,Petrol
71,Etios GD,Toyota,2013,350000.0,60000.0,Diesel
72,Figo Diesel EXI Option,Ford,2012,210000.0,35000.0,Diesel
73,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000.0,35000.0,Petrol
74,Beat LT Diesel,Chevrolet,2012,135000.0,45000.0,Diesel
75,7 Series 740Li Sedan,BMW,2009,1600000.0,35000.0,Petrol
76,XUV500 W8 AWD 2013,Mahindra,2013,701000.0,38000.0,Diesel
77,i10 Magna 1.2,Hyundai,2014,265000.0,18000.0,Petrol
78,Verna Fluidic New,Hyundai,2015,525000.0,35000.0,Diesel
79,Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349.0,Petrol
80,Suzuki Ertiga ZXI Plus,Maruti,2016,635000.0,29000.0,Petrol
81,EcoSport Titanium 1.5L TDCi,Ford,2014,550000.0,44000.0,Diesel
82,Suzuki Ertiga Vxi,Maruti,2016,575000.0,29000.0,Petrol
83,Suzuki Ertiga VDi,Maruti,2013,485000.0,42000.0,Diesel
84,Suzuki Alto LXi BS III,Maruti,2012,155000.0,14000.0,Petrol
85,Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000.0,49000.0,Diesel
86,Amaze 1.2 S i VTEC,Honda,2014,325000.0,42000.0,Petrol
87,i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200.0,Diesel
88,Figo Diesel EXI,Ford,2014,195000.0,50000.0,Diesel
89,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000.0,Petrol
90,Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000.0,Petrol
91,Suzuki Esteem LXi BS III,Maruti,2007,69999.0,51000.0,Petrol
92,Suzuki Ritz VXI,Maruti,2014,299999.0,19000.0,Petrol
93,Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol
94,Suzuki Ritz LDi,Maruti,2013,399999.0,33000.0,Diesel
95,Suzuki Dzire VDI,Maruti,2015,450000.0,104000.0,Diesel
96,Etios Liva G,Toyota,2014,270000.0,55000.0,Petrol
97,i20 Sportz 1.4 CRDI,Hyundai,2011,350000.0,33333.0,Diesel
98,Spark,Chevrolet,2012,158400.0,33600.0,Petrol
99,Suzuki Alto K10 VXi AMT,Maruti,2017,350000.0,5600.0,Petrol
100,Micra XV,Nissan,2011,179000.0,41000.0,Petrol
101,Suzuki Swift,Maruti,2007,125000.0,70000.0,Petrol
102,Suzuki Alto 800,Maruti,2018,200000.0,7500.0,Petrol
103,Amaze 1.5 S i DTEC,Honda,2013,299000.0,45000.0,Diesel
104,Suzuki Alto 800 Vxi,Maruti,2015,220000.0,38000.0,Petrol
105,Beat,Chevrolet,2015,150000.0,30000.0,Petrol
106,City 1.5 V MT,Honda,2010,285000.0,35000.0,Petrol
107,EcoSport Trend 1.5L TDCi,Ford,2016,830000.0,24330.0,Diesel
108,i20 Asta 1.2,Hyundai,2009,210000.0,65480.0,Petrol
109,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000.0,41000.0,Petrol
110,Indica V2 eLS,Tata,2006,90000.0,20000.0,Petrol
111,Motors Ambassador,Hindustan,2000,70000.0,200000.0,Diesel
112,Corolla Altis 1.8 GL,Toyota,2010,289999.0,70000.0,Petrol
113,Corolla Altis 1.8 J,Toyota,2012,349999.0,59000.0,Petrol
114,Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999.0,99000.0,Diesel
115,Jetta Highline TDI AT,Volkswagen,2014,749999.0,46000.0,Diesel
116,Polo Comfortline 1.2L P,Volkswagen,2015,399999.0,2800.0,Petrol
117,Polo,Volkswagen,2014,274999.0,32000.0,Petrol
118,Scorpio,Mahindra,2015,984999.0,22000.0,Diesel
119,Sunny,Nissan,2012,224999.0,45000.0,Petrol
120,Elite i20,Hyundai,2018,599999.0,21000.0,Petrol
121,Kwid,Renault,2016,244999.0,11000.0,Petrol
122,Duster,Renault,2013,399999.0,41000.0,Diesel
123,Duster,Renault,2014,474999.0,50000.0,Diesel
124,Scorpio VLX Airbag,Mahindra,2011,499999.0,66000.0,Diesel
125,Suzuki Alto 800 Lxi,Maruti,2018,310000.0,3000.0,Petrol
126,Spark LT 1.0,Chevrolet,2010,85000.0,45000.0,Petrol
127,Redi GO T O,Datsun,2016,245000.0,7000.0,Petrol
128,Suzuki Swift RS VDI,Maruti,2010,189500.0,38500.0,Diesel
129,Punto Emotion 1.2,Fiat,2012,169500.0,37200.0,Diesel
130,Suzuki Swift RS VDI,Maruti,2010,159500.0,43200.0,Diesel
131,Etios GD,Toyota,2013,275000.0,24800.0,Petrol
132,i20 Sportz 1.4 CRDI,Hyundai,2014,370000.0,60000.0,Diesel
133,i10 Sportz 1.2,Hyundai,2010,168000.0,45872.0,Petrol
134,Beat LT Opt Diesel,Chevrolet,2011,150000.0,40000.0,Diesel
135,Beat LS Diesel,Chevrolet,2011,145000.0,45000.0,Diesel
136,Beat LT Diesel,Chevrolet,2012,98500.0,38000.0,Diesel
137,Indigo CS,Tata,2011,85000.0,11400.0,Diesel
138,Corolla Altis 1.8 J,Toyota,2015,575000.0,42000.0,Petrol
139,City 1.5 V MT,Honda,2014,549000.0,39000.0,Petrol
140,Suzuki Swift VDi,Maruti,2011,209000.0,47000.0,Diesel
141,Eon Era Plus,Hyundai,2013,185000.0,27000.0,Petrol
142,Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel
143,XUV500,Mahindra,2014,699999.0,52000.0,Diesel
144,Fiesta,Ford,2011,274999.0,55000.0,Diesel
145,City,Honda,2015,599999.0,30000.0,Diesel
146,Suzuki Wagon R,Maruti,2012,199999.0,44000.0,Petrol
147,City,Honda,2014,544999.0,45000.0,Diesel
148,i20,Hyundai,2009,199000.0,31000.0,Petrol
149,Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel
150,Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000.0,Diesel
151,Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel
152,Petra ELX 1.2 PS,Fiat,2008,75000.0,65000.0,Petrol
153,Santro Xing XS,Hyundai,2005,49000.0,7500.0,Petrol
154,Suzuki Ciaz VXi Plus,Maruti,2016,700000.0,3350.0,Petrol
155,Suzuki Zen VX,Maruti,2000,55000.0,60000.0,Petrol
156,Creta 1.6 SX Plus Petrol,Hyundai,2017,895000.0,32000.0,Petrol
157,Scorpio SLX,Mahindra,2007,355000.0,75000.0,Diesel
158,Scorpio SLE BS IV,Mahindra,2012,565000.0,62000.0,Diesel
159,Innova 2.5 G BS III 8 STR,Toyota,2006,365000.0,73000.0,Diesel
160,Suzuki Alto K10 VXi AMT,Maruti,2011,145000.0,41000.0,Petrol
161,Suzuki Wagon R LXI BS IV,Maruti,2011,210000.0,35000.0,Petrol
162,Nano Cx BSIV,Tata,2013,40000.0,2200.0,Petrol
163,Suzuki Alto Std BS IV,Maruti,2013,125000.0,39000.0,Petrol
164,Suzuki Wagon R LXi BS III,Maruti,2009,135000.0,45000.0,Petrol
165,Suzuki Swift VXI BSIII,Maruti,2006,135000.0,45000.0,Petrol
166,Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000.0,65000.0,Diesel
167,Suzuki Wagon R LXi BS III,Maruti,2010,145000.0,54870.0,Petrol
168,Suzuki Alto LXi BS III,Maruti,2010,135000.0,34580.0,Petrol
169,Passat Diesel Comfortline AT,Volkswagen,2009,450000.0,97000.0,Diesel
170,Scala RxL Diesel Travelogue,Renault,2015,375000.0,25000.0,Diesel
171,Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000.0,20000.0,Petrol
172,i20 Active 1.2 SX,Hyundai,2015,500000.0,18000.0,Petrol
173,Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel
174,Jeep MM 550 XDB,Mahindra,2019,390000.0,60.0,Diesel
175,Bolero SLE BS IV,Mahindra,2013,330000.0,80200.0,Diesel
176,Motors  One LX ABS 7 STR,Force,2015,580000.0,3200.0,Diesel
177,Suzuki SX4,Maruti,2012,265000.0,46000.0,Diesel
178,Jeep CL550 MDI,Mahindra,2019,379000.0,0.0,Diesel
179,Suzuki Alto 800,Maruti,2015,219000.0,5000.0,Petrol
180,Jeep CL550 MDI,Mahindra,2018,385000.0,588.0,Diesel
181,Etios,Toyota,2011,275000.0,36000.0,Diesel
182,Polo,Volkswagen,2015,330000.0,38000.0,Diesel
183,City ZX VTEC,Honda,2008,110000.0,45000.0,Petrol
184,Suzuki Wagon R LX BS III,Maruti,2006,80000.0,71200.0,Petrol
185,City VX O MT Diesel,Honda,2016,519000.0,52000.0,Diesel
186,Thar CRDe 4x4 AC,Mahindra,2016,730000.0,29000.0,Diesel
187,A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000.0,Petrol
188,Benz GLA Class 200 CDI Sport,Mercedes,2015,2000000.0,20000.0,Diesel
189,Rover Freelander 2 SE,Land,2015,2100000.0,30000.0,Diesel
190,Kwid RXT,Renault,2017,340000.0,5000.0,Petrol
191,Aria Pleasure 4X2,Tata,2014,390000.0,35000.0,Diesel
192,Benz B Class B180 Sports,Mercedes,2014,1400000.0,31000.0,Petrol
193,GO T O,Datsun,2016,245000.0,7000.0,Petrol
194,Indigo eCS LX TDI BS III,Tata,2016,320000.0,175400.0,Diesel
195,Jazz VX MT,Honda,2016,450000.0,41000.0,Petrol
196,Amaze 1.2 S i VTEC,Honda,2014,311000.0,33000.0,Petrol
197,City,Honda,2012,399999.0,45000.0,Petrol
198,City,Honda,2015,599999.0,39000.0,Diesel
199,Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel
200,i20 Active 1.4L SX O,Hyundai,2015,535000.0,37000.0,Diesel
201,Cooper S,Mini,2013,1891111.0,13000.0,Petrol
202,Suzuki Ciaz ZXI Plus,Maruti,2017,699000.0,14000.0,Petrol
203,Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel
204,Eon Sportz,Hyundai,2012,178000.0,30000.0,Petrol
205,Sumo Gold Select Variant,Tata,2013,300000.0,50000.0,Diesel
206,Suzuki Wagon R 1.0,Maruti,2003,90000.0,45000.0,Petrol
207,Suzuki Esteem VXi BS III,Maruti,2006,95000.0,45000.0,Petrol
208,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000.0,9300.0,Petrol
209,Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000.0,55000.0,Diesel
210,Suzuki Wagon R 1.0 VXi,Maruti,2015,289999.0,22000.0,Petrol
211,Terrano XL D Plus,Nissan,2015,499999.0,60000.0,Diesel
212,Duster 85 PS RxE Diesel,Renault,2014,489999.0,59000.0,Diesel
213,Duster 85 PS RxL Diesel,Renault,2015,549999.0,19000.0,Diesel
214,Suzuki Dzire ZXI,Maruti,2013,380000.0,30000.0,Petrol
215,Kwid RXT Opt,Renault,2018,325000.0,15000.0,Petrol
216,Suzuki  800 Std,Maruti,2003,57000.0,56758.0,Petrol
217,Kwid 1.0 RXT AMT,Renault,2018,349999.0,10000.0,Petrol
218,Scala RxL Diesel,Renault,2014,349999.0,49000.0,Diesel
219,Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000.0,41000.0,Petrol
220,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000.0,45000.0,Petrol
221,Beat LS Petrol,Chevrolet,2010,120000.0,43000.0,Petrol
222,Santro Xing XO eRLX Euro III,Hyundai,2000,59000.0,56450.0,Petrol
223,Beat LS Petrol,Chevrolet,2010,80000.0,56000.0,Petrol
224,Beat LS Petrol,Chevrolet,2015,220000.0,32700.0,Petrol
225,EcoSport Titanium 1.5L TDCi,Ford,2016,599000.0,30000.0,Diesel
226,Accent GLX,Hyundai,2006,80000.0,56000.0,Petrol
227,TUV300 T4 Plus,Mahindra,2016,675000.0,9000.0,Diesel
228,Indica V2 Xeta e GLE,Tata,2008,150000.0,11000.0,Petrol
229,Indigo CS LS DiCOR,Tata,2009,72500.0,46000.0,Diesel
230,Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000.0,73.0,Petrol
231,Scorpio VLX Special Edition BS III,Mahindra,2004,230000.0,160000.0,Diesel
232,Accord,Honda,2009,175000.0,58559.0,Petrol
233,EcoSport Titanium 1.5 TDCi,Ford,2014,520000.0,57000.0,Diesel
234,Suzuki Ertiga,Maruti,2015,524999.0,50000.0,Diesel
235,Amaze,Honda,2014,299999.0,37000.0,Petrol
236,Suzuki Dzire,Maruti,2012,299999.0,40000.0,Petrol
237,City,Honda,2011,284999.0,55000.0,Petrol
238,Scorpio 2.6 CRDe,Mahindra,2007,220000.0,170000.0,Diesel
239,Suzuki Dzire,Maruti,2014,424999.0,55000.0,Diesel
240,City,Honda,2015,644999.0,39000.0,Petrol
241,Mobilio,Honda,2014,399999.0,44000.0,Petrol
242,Corolla Altis,Toyota,2009,199999.0,65000.0,Petrol
243,City,Honda,2014,584999.0,39000.0,Petrol
244,Laura,Skoda,2012,349999.0,44000.0,Diesel
245,Duster,Renault,2015,449999.0,49000.0,Diesel
246,Suzuki Ertiga,Maruti,2018,799999.0,9000.0,Diesel
247,Suzuki Dzire,Maruti,2015,444999.0,45000.0,Diesel
248,XUV500,Mahindra,2014,649999.0,47000.0,Diesel
249,Verna Fluidic,Hyundai,2012,444999.0,40000.0,Diesel
250,Suzuki Vitara Brezza,Maruti,2016,689999.0,29000.0,Diesel
251,Suzuki Wagon R,Maruti,2016,344999.0,15000.0,Petrol
252,Scorpio,Mahindra,2015,944999.0,45000.0,Diesel
253,Amaze,Honda,2014,274999.0,35000.0,Petrol
254,XUV500,Mahindra,2013,689999.0,80000.0,Diesel
255,Scorpio,Mahindra,2013,574999.0,68000.0,Diesel
256,Laura,Skoda,2013,374999.0,50000.0,Diesel
257,Polo,Volkswagen,2010,199999.0,60000.0,Diesel
258,Elite i20,Hyundai,2016,549999.0,9000.0,Petrol
259,Manza Aura Quadrajet,Tata,2012,130000.0,72000.0,Diesel
260,Sail UVA Petrol LT ABS,Chevrolet,2013,210000.0,60000.0,Petrol
261,Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000.0,45000.0,Diesel
262,A4 2.0 TDI 177bhp Premium,Audi,2012,1350000.0,40000.0,Diesel
263,Elantra SX,Hyundai,2013,600000.0,20000.0,Petrol
264,Scorpio VLX 4WD Airbag,Mahindra,2013,610000.0,35000.0,Diesel
265,KUV100 K8 D 6 STR,Mahindra,2016,400000.0,20000.0,Diesel
266,Grand i10,Hyundai,2017,524999.0,6821.0,Petrol
267,i20,Hyundai,2014,449999.0,23000.0,Petrol
268,Eon,Hyundai,2014,174999.0,14000.0,Petrol
269,i10,Hyundai,2012,244999.0,38000.0,Petrol
270,i20 Active,Hyundai,2015,574999.0,35000.0,Diesel
271,Redi GO,Datsun,2017,244999.0,22000.0,Petrol
272,Etios Liva,Toyota,2011,239999.0,41000.0,Petrol
273,Accent,Hyundai,2010,99999.0,45000.0,Petrol
274,Verna,Hyundai,2014,489999.0,44000.0,Diesel
275,Suzuki Swift,Maruti,2013,324999.0,45000.0,Diesel
276,Fortuner,Toyota,2011,1074999.0,52000.0,Diesel
277,i10 Sportz,Hyundai,2012,230000.0,34000.0,Petrol
278,Bolero Power Plus SLE,Mahindra,2018,699000.0,1800.0,Diesel
279,XUV500,Mahindra,2015,1000000.0,15000.0,Diesel
280,City 1.5 V MT Exclusive,Honda,2010,240000.0,400000.0,Petrol
281,Spark LT 1.0 Airbag,Chevrolet,2009,110000.0,44000.0,Petrol
282,XUV500,Mahindra,2016,1130000.0,72000.0,Diesel
283,Indigo eCS VX CR4 BS IV,Tata,2014,250000.0,40000.0,Diesel
284,Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000.0,48000.0,Diesel
285,Vista Quadrajet VX,Tata,2011,120000.0,90000.0,Diesel
286,Suzuki Alto K10 VXi AT,Maruti,2015,265000.0,12000.0,Petrol
287,Suzuki Zen LXi BS III,Maruti,2003,85000.0,69900.0,Petrol
288,i10 Magna 1.2,Hyundai,2011,175000.0,45000.0,Petrol
289,Suzuki Swift Dzire Tour LDi,Maruti,2016,350000.0,166000.0,Diesel
290,City ZX EXi,Honda,2008,149000.0,42000.0,Petrol
291,Jeep MM 550 XDB,Mahindra,2006,425000.0,122.0,Diesel
292,Beat Diesel,Chevrolet,2017,150000.0,62000.0,Diesel
293,City 1.5 S MT,Honda,2010,225000.0,70000.0,Petrol
294,Verna 1.4 VTVT,Hyundai,2014,375000.0,36000.0,Petrol
295,Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000.0,0.0,Diesel
296,Suzuki  800 Std – Befo,Maruti,1995,30000.0,55000.0,Petrol
297,Suzuki Swift,Maruti,2014,335000.0,55000.0,Diesel
298,Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000.0,20000.0,Diesel
299,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000.0,40000.0,Petrol
300,Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000.0,50000.0,Petrol
301,Indigo LX TDI BS III,Tata,2016,130000.0,104000.0,Diesel
302,Vento Konekt Diesel Highline,Volkswagen,2011,245000.0,65000.0,Diesel
303,Benz C Class 200 CDI Classic,Mercedes,2002,399000.0,41000.0,Petrol
304,Suzuki Ertiga VDi,Maruti,2013,450000.0,90000.0,Diesel
305,City,Honda,2000,65000.0,80000.0,Petrol
306,Santro Xing GLS,Hyundai,2006,75000.0,46000.0,Petrol
307,Suzuki Omni Limited Edition,Maruti,2001,70000.0,70000.0,Petrol
308,Sonata Transform 2.4 GDi MT,Hyundai,2017,190000.0,36469.0,Diesel
309,Elite i20 Sportz 1.2,Hyundai,2018,600000.0,7800.0,Petrol
310,Suzuki Alto 800 Lxi,Maruti,2017,240000.0,60000.0,Petrol
311,Suzuki Alto LXi BS III,Maruti,2011,155000.0,32000.0,Petrol
312,Jazz S MT,Honda,2009,169999.0,24695.0,Petrol
313,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000.0,15141.0,Petrol
314,Suzuki Zen LXi BSII,Maruti,2001,40000.0,40000.0,Petrol
315,Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000.0,65000.0,Diesel
316,Suzuki Alto K10 VXi,Maruti,2014,270000.0,22000.0,Petrol
317,Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000.0,59910.0,Diesel
318,XUV500 W8,Mahindra,2012,560000.0,100000.0,Diesel
319,Creta 1.6 SX Plus Petrol,Hyundai,2016,950000.0,25000.0,Petrol
320,i20 Magna O 1.2,Hyundai,2013,310000.0,35000.0,Petrol
321,Duster 85 PS RxL Explore LE,Renault,2015,715000.0,65000.0,Diesel
322,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000.0,35000.0,Petrol
323,Brio V MT,Honda,2012,235000.0,33000.0,Petrol
324,TUV300 T4 Plus,Mahindra,2017,610000.0,68000.0,Diesel
325,Spark LS 1.0,Chevrolet,2010,95000.0,23000.0,Petrol
326,TUV300 T8,Mahindra,2018,1000000.0,4500.0,Diesel
327,Suzuki Swift Dzire Tour LDi,Maruti,2015,220000.0,129000.0,Diesel
328,X Trail Select Variant,Nissan,2019,1200000.0,300.0,Diesel
329,Suzuki Alto 800 Vxi,Maruti,2015,230000.0,5000.0,Petrol
330,Ikon 1.3 CLXi NXt Finesse,Ford,2001,45000.0,65000.0,Petrol
331,Fortuner 3.0 4x4 MT,Toyota,2010,940000.0,131000.0,Diesel
332,Manza ELAN Quadrajet,Tata,2010,155555.0,111111.0,Petrol
333,Benz A Class A 180 Sport Petrol,Mercedes,2013,1500000.0,14000.0,Petrol
334,Beat LS Diesel,Chevrolet,2016,210000.0,22000.0,Diesel
335,EcoSport Trend 1.5L TDCi,Ford,2013,495000.0,38000.0,Diesel
336,Indigo LS,Tata,2016,125000.0,70000.0,Diesel
337,i20 Magna 1.2,Hyundai,2010,195000.0,36000.0,Petrol
338,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,550000.0,34000.0,Diesel
339,Kwid RXT,Renault,2015,270000.0,43000.0,Petrol
340,EcoSport Titanium 1.5L TDCi,Ford,2014,500000.0,40000.0,Diesel
341,Amaze 1.5 E i DTEC,Honda,2016,240000.0,160000.0,Diesel
342,Verna 1.6 EX VTVT,Hyundai,2017,800000.0,12000.0,Petrol
343,5 Series 520d Sedan,BMW,2011,1299000.0,49000.0,Diesel
344,Superb 1.8 TFSI AT,Skoda,2011,530000.0,68000.0,Petrol
345,Q3 2.0 TDI quattro Premium,Audi,2013,1499000.0,37000.0,Diesel
346,Bolero DI BSII,Mahindra,2012,220000.0,59466.0,Diesel
347,Figo Duratorq Diesel Titanium 1.4,Ford,2012,250000.0,99000.0,Diesel
348,Suzuki Wagon R VXI BS IV,Maruti,2018,395000.0,25500.0,Petrol
349,Logan Diesel 1.5 DLS,Mahindra,2009,130000.0,66000.0,Petrol
350,Nano GenX XMA,Tata,2010,32000.0,44005.0,Petrol
351,TUV300 T4 Plus,Mahindra,2016,540000.0,35000.0,Diesel
352,Elite i20 Magna 1.2,Hyundai,2015,405000.0,28000.0,Petrol
353,Elite i20 Magna 1.2,Hyundai,2015,400000.0,30000.0,Petrol
354,City SV,Honda,2017,760000.0,4000.0,Petrol
355,Suzuki Baleno Delta 1.2,Maruti,2016,500000.0,28000.0,Petrol
356,Figo Petrol LXI,Ford,2011,175000.0,75000.0,Petrol
357,City,Honda,2017,750000.0,3000.0,Petrol
358,Elite i20 Magna 1.2,Hyundai,2015,419000.0,20000.0,Petrol
359,Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000.0,50000.0,Petrol
360,Eon Era Plus,Hyundai,2018,140000.0,2110.0,Petrol
361,Pajero Sport Limited Edition,Mitsubishi,2015,1540000.0,43222.0,Petrol
362,i10 Magna 1.2 Kappa2,Hyundai,2008,275000.0,100200.0,Petrol
363,Corolla H2,Toyota,2003,150000.0,100000.0,Petrol
364,Suzuki Swift Dzire Tour VXi,Maruti,2011,230000.0,65.0,Petrol
365,Indigo CS eLS BS IV,Tata,2015,123000.0,100000.0,Diesel
366,Xcent Base 1.1 CRDi,Hyundai,2016,300000.0,140000.0,Diesel
367,Accent Executive Edition,Hyundai,2009,165000.0,48000.0,Petrol
368,Suzuki Baleno Delta 1.2,Maruti,2016,498000.0,22000.0,Petrol
